jobinfoid,scanneritemone,scanneritemtwo,scanneritemthree,scanneritemfour,descriptionone,descriptiontwo,descriptionthree,descriptionfour,descriptionfive,descriptionsix,dateone,datetwo,dropdownone,dropdowntwo,level1termid,level2termid,level3termid,level4termid,level5termid,level6termid,scanneroneimageid,scannertwoimageid,scannerthreeimageid,scannerfourimageid,genimageoneid,genimagetwoid,barcodeinfoid,ispartialverified,scanneritemvalue,isrejected,rfrejection,rejectedon,linkguid,approvedon,approvedtype
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181669,0,,0,,,,,1
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181670,0,,0,,,,,1
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181671,0,,0,,,,,1
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181672,0,,0,,,,,1
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181673,0,,0,,,,,1
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181674,0,,0,,,,,1
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181675,0,,0,,,,,1
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181676,0,,0,,,,,1
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181677,0,,0,,,,,1
,,,,,sample item,,,,,,,,,,11124,11125,11126,11127,11128,0,,,,,,,181678,0,,0,,,,,1
